"REF_DATE","GEO","DGUID","Type of materials diverted","Sources of materials prepared for recycling","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Prince Edward Island","2016A000211","All paper fibres","Residential sources of diverted materials","Tonnes","287","units","0","v1248315186","3.2.2","4641","","","","0"
"2018","Prince Edward Island","2016A000211","All paper fibres","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315187","3.2.3","7573","","","","0"
"2018","Prince Edward Island","2016A000211","Glass","All sources of diverted materials","Tonnes","287","units","0","v1248315188","3.3.1","268","","","","0"
"2018","Prince Edward Island","2016A000211","Glass","Residential sources of diverted materials","Tonnes","287","units","0","v1248315189","3.3.2","102","","","","0"
"2018","Prince Edward Island","2016A000211","Glass","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315190","3.3.3","166","","","","0"
"2018","Prince Edward Island","2016A000211","Ferrous metals","All sources of diverted materials","Tonnes","287","units","0","v1248315191","3.4.1","9363","","","","0"
"2018","Prince Edward Island","2016A000211","Ferrous metals","Residential sources of diverted materials","Tonnes","287","units","0","v1248315192","3.4.2","3558","","","","0"
"2018","Prince Edward Island","2016A000211","Ferrous metals","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315193","3.4.3","5805","","","","0"
"2018","Prince Edward Island","2016A000211","Copper and aluminum","All sources of diverted materials","Tonnes","287","units","0","v1248315194","3.5.1","1625","","","","0"
"2018","Prince Edward Island","2016A000211","Copper and aluminum","Residential sources of diverted materials","Tonnes","287","units","0","v1248315195","3.5.2","674","","","","0"
"2018","Prince Edward Island","2016A000211","Copper and aluminum","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315196","3.5.3","951","","","","0"
"2018","Prince Edward Island","2016A000211","Mixed metals","All sources of diverted materials","Tonnes","287","units","0","v1248315197","3.6.1","2004","","","","0"
"2018","Prince Edward Island","2016A000211","Mixed metals","Residential sources of diverted materials","Tonnes","287","units","0","v1248315198","3.6.2","762","","","","0"
"2018","Prince Edward Island","2016A000211","Mixed metals","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315199","3.6.3","1242","","","","0"
"2018","Prince Edward Island","2016A000211","White goods","All sources of diverted materials","Tonnes","287","units","0","v1248315200","3.7.1","6790","","","","0"
"2018","Prince Edward Island","2016A000211","White goods","Residential sources of diverted materials","Tonnes","287","units","0","v1248315201","3.7.2","2580","","","","0"
"2018","Prince Edward Island","2016A000211","White goods","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315202","3.7.3","4210","","","","0"
"2018","Prince Edward Island","2016A000211","Electronics","All sources of diverted materials","Tonnes","287","units","0","v1248315203","3.8.1","458","","","","0"
"2018","Prince Edward Island","2016A000211","Electronics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315204","3.8.2","","..","","","0"
"2018","Prince Edward Island","2016A000211","Electronics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315205","3.8.3","","..","","","0"
"2018","Prince Edward Island","2016A000211","Plastics","All sources of diverted materials","Tonnes","287","units","0","v1248315206","3.9.1","939","","","","0"
"2018","Prince Edward Island","2016A000211","Plastics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315207","3.9.2","357","","","","0"
"2018","Prince Edward Island","2016A000211","Plastics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315208","3.9.3","582","","","","0"
"2018","Prince Edward Island","2016A000211","Gable top and aseptic containers","All sources of diverted materials","Tonnes","287","units","0","v1248315209","3.10.1","0","","","","0"
"2018","Prince Edward Island","2016A000211","Gable top and aseptic containers","Residential sources of diverted materials","Tonnes","287","units","0","v1248315210","3.10.2","0","","","","0"
"2018","Prince Edward Island","2016A000211","Gable top and aseptic containers","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315211","3.10.3","0","","","","0"
"2018","Prince Edward Island","2016A000211","Textiles","All sources of diverted materials","Tonnes","287","units","0","v1248315212","3.11.1","0","","","","0"
"2018","Prince Edward Island","2016A000211","Textiles","Residential sources of diverted materials","Tonnes","287","units","0","v1248315213","3.11.2","0","","","","0"
"2018","Prince Edward Island","2016A000211","Textiles","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315214","3.11.3","0","","","","0"
"2018","Prince Edward Island","2016A000211","Tires","All sources of diverted materials","Tonnes","287","units","0","v1248315215","3.12.1","2354","","","","0"
"2018","Prince Edward Island","2016A000211","Tires","Residential sources of diverted materials","Tonnes","287","units","0","v1248315216","3.12.2","","..","","","0"
"2018","Prince Edward Island","2016A000211","Tires","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315217","3.12.3","","..","","","0"
"2018","Prince Edward Island","2016A000211","Construction, renovation and demolition","All sources of diverted materials","Tonnes","287","units","0","v1248315218","3.13.1","0","","","","0"
"2018","Prince Edward Island","2016A000211","Construction, renovation and demolition","Residential sources of diverted materials","Tonnes","287","units","0","v1248315219","3.13.2","0","","","","0"
"2018","Prince Edward Island","2016A000211","Construction, renovation and demolition","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315220","3.13.3","0","","","","0"
"2018","Prince Edward Island","2016A000211","Organics","All sources of diverted materials","Tonnes","287","units","0","v1248315221","3.14.1","20445","","","","0"
"2018","Prince Edward Island","2016A000211","Organics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315222","3.14.2","16116","","","","0"
